Source,Target,Weight
chandler,monica,960
chandler,joey,893
rachel,ross,831
monica,phoebe,787
monica,rachel,764
phoebe,rachel,739
chandler,ross,713
joey,monica,711
joey,ross,703
joey,rachel,688
joey,phoebe,674
monica,ross,655
chandler,phoebe,652
chandler,rachel,640
phoebe,ross,631
mike,phoebe,57
monica,mr. geller,42
mr. geller,ross,40
carol,ross,39
gunther,joey,39
monica,mrs. geller,38
mrs. geller,ross,37
chandler,janice,35
gunther,ross,35
emily,ross,35
mr. geller,mrs. geller,32
chandler,mr. geller,31
gunther,rachel,30
ross,susan,29
chandler,gunther,28
charlie,ross,28
mrs. geller,rachel,27
rachel,tag,27
chandler,mrs. geller,25
gunther,phoebe,25
mike,monica,25
mike,ross,24
mona,ross,24
carol,susan,22
mr. geller,rachel,22
gunther,monica,22
joey,mike,22
joey,mrs. geller,20
mrs. geller,phoebe,20
janice,joey,20
chandler,mike,20
joey,mr. geller,19
mr. geller,phoebe,19
emily,monica,19
emily,joey,19
charlie,rachel,19
charlie,joey,19
frank,phoebe,18
julie,rachel,17
monica,pete,17
chandler,kathy,17
janine,joey,17
janice,monica,16
emily,rachel,16
david,phoebe,15
julie,ross,15
mike,rachel,15
joshua,rachel,15
chandler,gary,15
janice,phoebe,14
erica,monica,14
chandler,erica,14
chandler,emily,14
janice,ross,13
emily,phoebe,13
janice,rachel,12
ben,ross,12
gary,phoebe,12
amy,rachel,12
carol,joey,11
mark,rachel,11
phoebe,ursula,10
carol,monica,10
carol,chandler,10
carol,rachel,10
phoebe,susan,10
chandler,julie,10
monica,richard,10
joey,kate,10
joanna,rachel,10
chandler,doug,10
joey,kathy,10
mr. waltham,rachel,10
danny,rachel,10
chandler,janine,10
charlie,phoebe,10
chandler,jill,9
carol,phoebe,9
joey,mr. treeger,9
eric,phoebe,9
ben,rachel,9
alice,phoebe,9
gary,monica,9
janine,monica,9
amy,ross,9
chandler,charlie,9
chandler,mrs. bing,8
mrs. bing,ross,8
monica,susan,8
julie,monica,8
joey,julie,8
joey,richard,8
chandler,frank,8
frank,rachel,8
mark,ross,8
alice,frank,8
joey,lauren,8
bonnie,rachel,8
mr. waltham,ross,8
mrs. waltham,ross,8
jill,rachel,8
phoebe,tag,8
ross,tag,8
joey,mona,8
dr. long,rachel,8
dr. long,ross,8
amy,joey,8
gavin,rachel,8
barry,rachel,7
paolo,ross,7
fun bobby,monica,7
ross,sandy,7
chandler,susan,7
estelle,joey,7
frank,ross,7
dr. green,rachel,7
dr. green,ross,7
ben,phoebe,7
rachel,sophie,7
chloe,ross,7
bonnie,ross,7
phoebe,phoebe sr,7
kathy,rachel,7
kathy,ross,7
monica,tim,7
monica,mrs. waltham,7
mr. waltham,mrs. waltham,7
chandler,mrs. waltham,7
danny,monica,7
gary,joey,7
kim,rachel,7
jill,ross,7
joey,tag,7
monica,tag,7
dina,joey,7
charlie,monica,7
monica,paolo,6
paolo,rachel,6
paolo,phoebe,6
david,monica,6
chandler,david,6
chandler,fun bobby,6
phoebe,steve,6
rachel,susan,6
julie,phoebe,6
ross,steve,6
monica,mrs. green,6
mrs. green,rachel,6
mrs. green,phoebe,6
erica,joey,6
frank,monica,6
frank,joey,6
ben,monica,6
chandler,joanna,6
bonnie,chandler,6
kathy,monica,6
kathy,phoebe,6
monica,mr. waltham,6
emily,mrs. geller,6
ben,chandler,6
mr. zelner,rachel,6
gary,ross,6
leslie,phoebe,5
mr. heckles,phoebe,5
rachel,sandy,5
fun bobby,rachel,5
fun bobby,joey,5
fun bobby,ross,5
fun bobby,phoebe,5
monica,mrs. bing,5
mrs. bing,rachel,5
joey,mrs. bing,5
mrs. bing,phoebe,5
joey,mr. tribbiani,5
rachel,steve,5
joey,susan,5
mr. treeger,rachel,5
mr. treeger,ross,5
eric,ross,5
joanna,sophie,5
bonnie,phoebe,5
bonnie,joey,5
phoebe,tim,5
mr. geller,mr. waltham,5
mr. waltham,mrs. geller,5
emily,mr. waltham,5
chandler,mr. waltham,5
emily,mr. geller,5
mrs. geller,mrs. waltham,5
joey,mrs. waltham,5
mrs. waltham,rachel,5
janine,ross,5
melissa,rachel,5
erin,joey,5
chandler,tag,5
